Time,avg,max,min
2014-03-29 00:00:00 UTC,299,300,298
2014-03-31 00:00:00 UTC,265.95,272.95,262.25
2014-04-01 00:00:00 UTC,283.03625,286.1,280
2014-04-02 00:00:00 UTC,280,280,280
2014-04-03 00:00:00 UTC,270.795,285,260
2014-04-04 00:00:00 UTC,285,300,270
2014-04-05 00:00:00 UTC,289.5,300,279
2014-04-06 00:00:00 UTC,285,285,285
2014-04-07 00:00:00 UTC,274.3633333,281.49,265.27
2014-04-08 00:00:00 UTC,272.7625,276,266.42
2014-04-09 00:00:00 UTC,268.6145933,273,261.28
2014-04-10 00:00:00 UTC,246.6435185,261,228.79
2014-04-11 00:00:00 UTC,246.8666667,252.44,225
2014-04-14 00:00:00 UTC,265.8333333,310,200
2014-04-15 00:00:00 UTC,293.5775,305.13,275
2014-04-16 00:00:00 UTC,314.7002568,330,305
2014-04-17 00:00:00 UTC,300.9,303,300
2014-04-18 00:00:00 UTC,289.8770833,297.98,285.57
2014-04-19 00:00:00 UTC,292.9561111,295.56,290.64
2014-04-20 00:00:00 UTC,299.3079077,302.45,291.69
2014-04-22 00:00:00 UTC,296.3705556,300,294
2014-04-23 00:00:00 UTC,290.8121429,294.73,285.97
2014-04-24 00:00:00 UTC,294.695,294.84,294.45
2014-04-25 00:00:00 UTC,277.1712222,293,225
2014-04-26 00:00:00 UTC,269.122,278,235
2014-04-28 00:00:00 UTC,267.9222415,276.44,251.13
2014-04-29 00:00:00 UTC,295.6844011,750,263.04
2014-04-30 00:00:00 UTC,261.495,261.54,261.44
2014-05-01 00:00:00 UTC,267.9384821,272.93,264.93
2014-05-02 00:00:00 UTC,268.861,270.55,266
2014-05-03 00:00:00 UTC,263.7069365,266.05,257.08
2014-05-04 00:00:00 UTC,260.9266667,263.53,255
2014-05-05 00:00:00 UTC,260.2344054,262.21,258.58
2014-05-06 00:00:00 UTC,256.44,259.25,253.5
2014-05-07 00:00:00 UTC,262.083,268.18,255
2014-05-08 00:00:00 UTC,261.814,266.07,260
2014-05-09 00:00:00 UTC,265.5,265.5,265.5
2014-05-10 00:00:00 UTC,270.5,271,270
2014-05-11 00:00:00 UTC,263.7673333,267.83,260
2014-05-12 00:00:00 UTC,264.9989815,266.68,262.25
2014-05-13 00:00:00 UTC,260.9766667,264.93,256.13
2014-05-14 00:00:00 UTC,269.0581667,270.69,266.48
2014-05-15 00:00:00 UTC,272.0629643,295,270
2014-05-16 00:00:00 UTC,285.9425882,600,270
2014-05-17 00:00:00 UTC,270.284881,272,267
2014-05-18 00:00:00 UTC,271.1638889,272,270.5
2014-05-19 00:00:00 UTC,272.1719231,275,270
2014-05-20 00:00:00 UTC,293.377394,475,268
2014-05-21 00:00:00 UTC,300.3764851,550,290
2014-05-22 00:00:00 UTC,310.828538,318.07,297
2014-05-23 00:00:00 UTC,326.2508333,350,312.93
2014-05-24 00:00:00 UTC,308.62,312.93,305.7
2014-05-25 00:00:00 UTC,345.4828571,351.67,334.73
2014-05-26 00:00:00 UTC,345.0425,351.76,341.75
2014-05-27 00:00:00 UTC,349.6217692,450,340
2014-05-28 00:00:00 UTC,341.6619769,347.38,303
2014-05-29 00:00:00 UTC,342.5352381,348.89,340
2014-05-30 00:00:00 UTC,363.9131731,383,335.25
2014-05-31 00:00:00 UTC,375.2214583,379.07,370
2014-06-01 00:00:00 UTC,384.040875,395.5,365.01
2014-06-02 00:00:00 UTC,386.7144792,398.24,380
